name,weight
/twbs/bootstrap,708822
/vuejs/vue,595503
/facebook/react,567989
/airbnb/javascript,364320
/nodejs/node,280060
/mrdoob/three.js,276633
/trekhleb/javascript-algorithms,253636
/axios/axios,244027
/jquery/jquery,243259
/30-seconds/30-seconds-of-code,195779
/moment/moment,159377
/lodash/lodash,153989
/meteor/meteor,149178
/babel/babel,127544
/ryanmcdermott/clean-code-javascript,123923
/adobe/brackets,123297
/mozilla/pdf.js,121316
/juliangarnier/anime,117203
/leonardomso/33-js-concepts,110549
/hexojs/hexo,107665
/Leaflet/Leaflet,102505
/jashkenas/underscore,99693
/select2/select2,98353
/immutable-js/immutable-js,96511
/Modernizr/Modernizr,86987
/emberjs/ember.js,83142
/github/fetch,81161
/VincentGarreau/particles.js,80126
/standard/standard,78831
/hammerjs/hammer.js,75057
/lerna/lerna,72773
/MrRio/jsPDF,71828
/elsewhencode/project-guidelines,71133
/naptha/tesseract.js,70547
/date-fns/date-fns,70327
/Reactive-Extensions/RxJS,69386
/mochajs/mocha,68885
/alsotang/node-lessons,68364
/nefe/You-Dont-Need-jQuery,64973
/enzymejs/enzyme,64695
/verekia/js-stack-from-scratch,63709
/ramda/ramda,61203
/MostlyAdequate/mostly-adequate-guide,60661
/eslint/eslint,60552
/uxsolutions/bootstrap-datepicker,60244
/highlightjs/highlight.js,59799
/avajs/ava,58733
/ccxt/ccxt,57395
/fabricjs/fabric.js,57374
/julianshapiro/velocity,56762
/denysdovhan/wtfjs,55964
/mysqljs/mysql,55459
/goldfire/howler.js,55366
/graphql/graphql-js,54573
/js-cookie/js-cookie,54118
/jasmine/jasmine,53981
/janl/mustache.js,51602
/kriskowal/q,50240
/facebook/relay,49416
/requirejs/requirejs,48058
/jsdom/jsdom,47303
/Shopify/draggable,46162
/getify/Functional-Light-JS,44910
/facebook/prepack,44603
/janpaepke/ScrollMagic,44579
/yaronn/blessed-contrib,44474
/douglascrockford/JSON-js,43900
/maxwellito/vivus,43647
/adobe-webplatform/Snap.svg,43389
/gruntjs/grunt,43232
/Automattic/wp-calypso,42260
/rwaldron/johnny-five,41920
/dangrossman/daterangepicker,41655
/MithrilJS/mithril.js,40703
/karma-runner/karma,40684
/plotly/plotly.js,40489
/DmitryBaranovskiy/raphael,39064
/karpathy/convnetjs,38983
/davidshimjs/qrcodejs,38506
/JedWatson/classnames,38497
/aui/art-template,38468
/ethereum/web3.js,38302
/CodeSeven/toastr,38153
/greensock/GSAP,38021
/stephentian/33-js-concepts,37778
/showdownjs/showdown,37317
/mishoo/UglifyJS2,37060
/VerbalExpressions/JSVerbalExpressions,37034
/jsdoc/jsdoc,36908
/BrainJS/brain.js,36662
/knockout/knockout,36567
/mozilla/BrowserQuest,36552
/tuupola/lazyload,34638
/ccampbell/mousetrap,34126
/mattboldt/typed.js,33844
/NUKnightLab/TimelineJS,33493
/jacomyal/sigma.js,33181
/josdejong/mathjs,33049
/krisk/Fuse,33035
/brix/crypto-js,32683
/guillaumepotier/Parsley.js,32680
/jshint/jshint,32471
/gpujs/gpu.js,32154
/Netflix/falcor,32017
/copy/v86,31787
/jonasschmedtmann/complete-javascript-course,30817
/bpampuch/pdfmake,30732
/mleibman/SlickGrid,30165
/uuidjs/uuid,30007
/GoogleChrome/workbox,29900
/jaredpalmer/razzle,29786
/video-dev/hls.js,29459
/pqina/filepond,28893
/harthur/brain,28752
/learn-co-students/javascript-intro-to-functions-lab-bootcamp-prep-000,28678
/myliang/x-spreadsheet,28551
/mishoo/UglifyJS,28202
/adamwdraper/Numeral-js,28200
/apexcharts/apexcharts.js,28108
/fengyuanchen/cropperjs,27595
/nhn/tui.calendar,27305
/google/traceur-compiler,27226
/tweenjs/tween.js,27040
/sinonjs/sinon,26892
/sockjs/sockjs-client,26362
/Pikaday/Pikaday,26214
/evilstreak/markdown-js,26194
/CesiumGS/cesium,26185
/humanwhocodes/computer-science-in-javascript,26161
/text-mask/text-mask,26025
/beautify-web/js-beautify,25312
/jakesgordon/javascript-state-machine,25221
/es-shims/es5-shim,24765
/learn-co-students/javascript-arithmetic-lab-bootcamp-prep-000,24365
/flot/flot,24240
/protobufjs/protobuf.js,24185
/mrdoob/stats.js,23766
/mgechev/javascript-algorithms,23320
/flightjs/flight,23087
/meanjs/mean,23023
/gka/chroma.js,22941
/sql-js/sql.js,22917
/sbstjn/timesheet.js,22868
/aws/aws-sdk-js,22747
/rethinkdb/horizon,22738
/learn-co-students/javascript-fix-the-scope-lab-bootcamp-prep-000,22691
/discordjs/discord.js,22577
/learn-co-students/javascript-arrays-bootcamp-prep-000,22320
/ReactTraining/history,21800
/foliojs/pdfkit,21697
/jhu-ep-coursera/fullstack-course4,21373
/NorthwoodsSoftware/GoJS,21352
/Stuk/jszip,20766
/bitwiseshiftleft/sjcl,20734
/pa7/heatmap.js,20294
/acornjs/acorn,20202
/medialize/URI.js,20039
/jackocnr/intl-tel-input,19663
/learn-co-students/javascript-arrays-lab-bootcamp-prep-000,19642
/mrdavidlaing/javascript-koans,19591
/os-js/OS.js,19040
/flatiron/director,18973
/styled-components/polished,18708
/learn-co-students/javascript-objects-bootcamp-prep-000,18652
/phoboslab/jsmpeg,18305
/tehnokv/picojs,18301
/Turfjs/turf,18192
/fengyuanchen/viewerjs,18026
/techfort/LokiJS,17786
/jscs-dev/node-jscs,17751
/aemkei/jsfuck,17597
/learn-co-students/javascript-objects-lab-bootcamp-prep-000,17443
/daniel-lundin/snabbt.js,17380
/jsbin/jsbin,17240
/blueimp/JavaScript-MD5,17232
/square/cubism,17191
/facebook/jscodeshift,17018
/dataarts/dat.gui,16973
/documentationjs/documentation,16901
/entropic-dev/entropic,16900
/getsentry/sentry-javascript,16883
/chancejs/chancejs,16872
/serialport/node-serialport,16858
/amejiarosario/dsa.js-data-structures-algorithms-javascript,16834
/tapmodo/Jcrop,16801
/visionmedia/move.js,16784
/bfirsh/jsnes,16733
/ipfs/js-ipfs,16542
/fabien-d/alertify.js,16526
/xojs/xo,16280
/js-org/js.org,16145
/sachinchoolur/lightgallery.js,16133
/egoist/poi,16072
/da2k/curso-javascript-ninja,15926
